"filename", "language", "SCSS", "HTML", "CSS", "JSON", "Batch", "PostgreSQL", "Markdown", "TypeScript", "JavaScript", "Stylus", "Vue", "XML", "Log", "Shell Script", "comment", "blank", "total"
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\3.7d956e11.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\4.804926eb.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\5.db83d47c.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\6.2c9561ee.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\7.a650c46b.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\8.247f22d3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\9.f8b15160.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\hug-moms\docs\.vuepress\dist\assets\js\app.360a00c9.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 8
"c:\repos\hug-moms\docs\.vuepress\dist\config\index.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\repos\hug-moms\docs\.vuepress\dist\guide\active-deliveries.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\repos\hug-moms\docs\.vuepress\dist\guide\add-family.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\repos\hug-moms\docs\.vuepress\dist\guide\add-to-home-screen.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\repos\hug-moms\docs\.vuepress\dist\guide\delivery-followup.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\repos\hug-moms\docs\.vuepress\dist\guide\distribution-map.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\repos\hug-moms\docs\.vuepress\dist\guide\events.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\repos\hug-moms\docs\.vuepress\dist\guide\families.html", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\repos\hug-moms\docs\.vuepress\dist\guide\family-info.html", "HTML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
